,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,heatIndexF,dewPointC,dewPointF,windChillC,windChillF,windGustMiles,windGustKmph,feelsLikeC,feelsLikeF
2015-01-01,0.23255208333333321,0.25723379632291665,0.36476934535416694,0.35026041662499985,0.15256137860416658,0.5657894735312502,0.02064896754166667,0.8100090579999999,0.96875,0.7755028736562491,0.3339062500000001,0.26813936780208336,0.27692610064583334,0.5693108974479167,0.5720833333333334,0.23671874999999995,0.25839120371874996,0.28326231061458335,0.28580729169791674,0.26813936780208336,0.27692610064583334
2015-01-02,0.23124999999999996,0.25115740738541664,0.45368303571875,0.4414062500520834,0.17478163364583335,0.5855263155625007,0.0,0.7650966183645834,1.0,0.8482399427812498,0.30880208333333337,0.24712643670833337,0.2594339622708333,0.5044070513854164,0.517291666666667,0.23124999999999996,0.25115740738541664,0.33132102264583324,0.33492476852083336,0.24712643670833337,0.2594339622708333
2015-01-03,0.2416666666666667,0.26620370378125,0.32124255956250003,0.30539772728125,0.1714176109895834,0.631578947000001,0.001106194739583334,0.8088768115625008,1.0,0.8265086207812486,0.4844270833333337,0.27873563213541663,0.28616352205208345,0.5705128204687497,0.5783333333333333,0.2416666666666667,0.26620370378125,0.22052556823958333,0.22771990740625014,0.27873563213541663,0.28616352205208345
2015-01-04,0.27838541666666666,0.29817708334375004,0.21912202380208323,0.20537405312500004,0.16060257313541673,0.5800438594166671,0.0003687315729166667,0.8382397343020839,1.0,0.7623922413541672,0.41854166666666665,0.3318965516562501,0.3416863207604166,0.6121794871041669,0.6172916666666667,0.27838541666666666,0.29817708334375004,0.16725852274999997,0.17339409738541656,0.32758620689583345,0.3377555031458333
2015-01-05,0.3236979166666668,0.34606481475,0.1949404762395834,0.17708333337500004,0.16674043910416667,0.3991228069062504,0.001106194739583334,0.84299516915625,0.8483072916666666,0.7428160920416675,0.3611458333333331,0.3908045976250001,0.3988797171041667,0.6858974356979166,0.6833333333333337,0.3236979166666668,0.34606481475,0.14772727281250012,0.15024594919791665,0.3908045976250001,0.3988797171041667
2015-01-06,0.3578125000000001,0.37948495371874996,0.18061755953125036,0.1603929926145833,0.20166430593749995,0.3991228070000001,0.001106194739583334,0.8069142512395834,0.771484375,0.7399425287083342,0.28083333333333327,0.4145114942291667,0.42551100630208344,0.6622596151666668,0.6593749999999999,0.3578125000000001,0.37948495371874996,0.12878787874999983,0.13621238431250002,0.4145114942291667,0.42551100630208344
2015-01-07,0.2705729166666666,0.29412615740625003,0.19996279767708316,0.18027935617708335,0.19484773369791672,0.41447368412500024,0.0016592921145833339,0.8229921497708332,0.8697916666666666,0.7596982759791663,0.3177083333333333,0.3225574712291668,0.3320558176041665,0.6121794871354166,0.6143749999999999,0.2705729166666666,0.29412615740625003,0.1405066288437501,0.14489293981249998,0.3225574712291668,0.3320558176041665
2015-01-08,0.22291666666666676,0.24146412031249997,0.3338913689791665,0.32078598487500004,0.17436850802083337,0.6458333331770836,0.0,0.7380736715208335,1.0,0.8324353449791654,0.26041666666666663,0.2437140802500001,0.2512775156979165,0.4507211539999995,0.46708333333333324,0.22291666666666676,0.24146412031249997,0.25958806821874997,0.264395254625,0.2437140802500001,0.2512775156979165
2015-01-09,0.18541666666666679,0.20949074068749995,0.32645089280208334,0.3122632575937499,0.17227337109375004,0.5592105262604168,0.00497787633333333,0.8001207729270837,0.921875,0.8606321841770828,0.5458333333333337,0.21641522979166664,0.2253341194479167,0.48397435891666657,0.48666666666666675,0.18541666666666679,0.20949074068749995,0.24301609841666685,0.24573206007291656,0.21641522979166664,0.2253341194479167
2015-01-10,0.18385416666666676,0.20471643526041672,0.3262648808749998,0.3101325758020835,0.17132908406250005,0.6557017541562504,0.0003687315729166667,0.7210144927500001,1.0,0.8448275863958319,0.33265625000000004,0.2025862068645834,0.2154088050833335,0.38020833363541673,0.3747916666666671,0.18385416666666676,0.20471643526041672,0.2499999999270832,0.2565104165937499,0.18372844833333327,0.19713050319791678
2015-01-11,0.17447916666666674,0.19690393521874996,0.2892485118958334,0.2785274621041666,0.16303706322916678,0.6118421050000006,0.0016592921145833339,0.7582276569895834,1.0,0.8448275864999992,0.5269270833333336,0.2002514366875001,0.2094143081458332,0.4178685899062495,0.4168749999999999,0.17447916666666674,0.19690393521874996,0.2238399621874997,0.22960069432291677,0.18318965511458343,0.1931014151249999
2015-01-12,0.2132812499999999,0.23423032403125002,0.31101190480208335,0.29604640151041667,0.1681421151458334,0.4868421050000005,0.0009218289375000003,0.7846467391770832,1.0,0.8491379313749993,0.6085937499999999,0.2332974136875,0.24715015721875003,0.49479166679166636,0.5112499999999999,0.2132812499999999,0.23423032403125002,0.22182765160416681,0.22504340277083348,0.2332974136875,0.24715015721875003
