datetime,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,heatIndexF,dewPointC,dewPointF,windChillC,windChillF,windGustMiles,windGustKmph,feelsLikeC,feelsLikeF
2015-01-01 00:00:00,0.2,0.222222222,0.321428571,0.295454545,0.152974504,0.6315789470000001,0.0,0.84057971,1.0,0.75862069,0.33,0.20689655199999998,0.22641509399999998,0.538461538,0.56,0.2,0.222222222,0.22727272699999998,0.236111111,0.20689655199999998,0.22641509399999998
2015-01-01 01:00:00,0.15,0.194444444,0.321428571,0.295454545,0.15014164300000002,0.6315789470000001,0.0,0.84057971,1.0,0.75862069,0.31,0.20689655199999998,0.20754717,0.538461538,0.52,0.15,0.194444444,0.25,0.25,0.20689655199999998,0.20754717
2015-01-01 02:00:00,0.15,0.166666667,0.28571428600000004,0.272727273,0.147308782,0.0,0.0,0.84057971,1.0,0.7241379309999999,0.3,0.172413793,0.188679245,0.46153846200000004,0.48,0.15,0.166666667,0.25,0.25,0.172413793,0.188679245
2015-01-01 03:00:00,0.1,0.13888888900000002,0.28571428600000004,0.272727273,0.144475921,0.0,0.0,0.855072464,1.0,0.7241379309999999,0.29,0.137931034,0.16981132100000002,0.46153846200000004,0.44,0.1,0.13888888900000002,0.272727273,0.26388888899999996,0.137931034,0.16981132100000002
2015-01-01 04:00:00,0.1,0.13888888900000002,0.28571428600000004,0.272727273,0.14164305900000002,0.0,0.0,0.84057971,1.0,0.7241379309999999,0.36,0.172413793,0.16981132100000002,0.46153846200000004,0.44,0.1,0.13888888900000002,0.25,0.25,0.172413793,0.16981132100000002
2015-01-01 05:00:00,0.15,0.13888888900000002,0.28571428600000004,0.272727273,0.138810198,0.6315789470000001,0.0,0.826086957,1.0,0.75862069,0.43,0.172413793,0.16981132100000002,0.46153846200000004,0.44,0.15,0.13888888900000002,0.25,0.25,0.172413793,0.16981132100000002
2015-01-01 06:00:00,0.15,0.166666667,0.28571428600000004,0.272727273,0.135977337,0.6315789470000001,0.0,0.826086957,1.0,0.75862069,0.5,0.172413793,0.188679245,0.46153846200000004,0.44,0.15,0.166666667,0.22727272699999998,0.236111111,0.172413793,0.188679245
2015-01-01 07:00:00,0.15,0.194444444,0.321428571,0.295454545,0.14164305900000002,0.6315789470000001,0.004424779,0.797101449,1.0,0.75862069,0.48,0.20689655199999998,0.20754717,0.46153846200000004,0.48,0.2,0.194444444,0.25,0.25,0.20689655199999998,0.20754717
2015-01-01 08:00:00,0.2,0.222222222,0.321428571,0.318181818,0.147308782,0.6315789470000001,0.008849558,0.768115942,1.0,0.75862069,0.45,0.24137931,0.245283019,0.46153846200000004,0.48,0.2,0.25,0.25,0.25,0.24137931,0.245283019
2015-01-01 09:00:00,0.25,0.27777777800000003,0.35714285700000004,0.340909091,0.152974504,0.6315789470000001,0.017699115,0.739130435,1.0,0.793103448,0.43,0.24137931,0.264150943,0.538461538,0.52,0.25,0.27777777800000003,0.272727273,0.26388888899999996,0.24137931,0.264150943
2015-01-01 10:00:00,0.25,0.305555556,0.39285714299999996,0.363636364,0.152974504,0.6315789470000001,0.030973451000000003,0.739130435,1.0,0.793103448,0.4,0.275862069,0.28301886800000003,0.538461538,0.56,0.3,0.305555556,0.295454545,0.305555556,0.275862069,0.28301886800000003
2015-01-01 11:00:00,0.3,0.305555556,0.428571429,0.409090909,0.155807365,0.31578947399999996,0.048672565999999994,0.7246376809999999,1.0,0.793103448,0.37,0.310344828,0.32075471699999997,0.538461538,0.56,0.3,0.305555556,0.340909091,0.333333333,0.310344828,0.32075471699999997
2015-01-01 12:00:00,0.3,0.333333333,0.428571429,0.43181818200000005,0.155807365,0.31578947399999996,0.066371681,0.710144928,1.0,0.793103448,0.35,0.344827586,0.33962264200000003,0.615384615,0.6,0.3,0.333333333,0.363636364,0.375,0.344827586,0.33962264200000003
2015-01-01 13:00:00,0.35,0.36111111100000004,0.428571429,0.409090909,0.158640227,0.31578947399999996,0.066371681,0.7536231879999999,0.875,0.75862069,0.32,0.379310345,0.377358491,0.615384615,0.64,0.35,0.36111111100000004,0.363636364,0.36111111100000004,0.379310345,0.377358491
2015-01-01 14:00:00,0.35,0.38888888899999996,0.39285714299999996,0.386363636,0.158640227,0.842105263,0.07079646,0.7826086959999999,0.875,0.75862069,0.28,0.413793103,0.41509434,0.692307692,0.72,0.35,0.38888888899999996,0.340909091,0.347222222,0.413793103,0.41509434
2015-01-01 15:00:00,0.4,0.38888888899999996,0.39285714299999996,0.363636364,0.16147308800000001,0.842105263,0.07079646,0.826086957,0.875,0.75862069,0.25,0.448275862,0.452830189,0.7692307690000001,0.8,0.4,0.38888888899999996,0.318181818,0.319444444,0.448275862,0.452830189
2015-01-01 16:00:00,0.35,0.38888888899999996,0.39285714299999996,0.363636364,0.158640227,0.842105263,0.053097345,0.826086957,0.875,0.75862069,0.26,0.413793103,0.433962264,0.7692307690000001,0.76,0.35,0.38888888899999996,0.295454545,0.305555556,0.413793103,0.433962264
2015-01-01 17:00:00,0.35,0.36111111100000004,0.39285714299999996,0.386363636,0.155807365,0.842105263,0.030973451000000003,0.84057971,0.875,0.75862069,0.26,0.379310345,0.396226415,0.7692307690000001,0.72,0.35,0.36111111100000004,0.295454545,0.291666667,0.379310345,0.396226415
