,precipMM,tempC,windspeedKmph,cond,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
precipMM,1.0,0.1636254511365637,0.006070945807946071,0.09962787675967125,0.11655944579209145,-0.35376295392399915,-0.4284545605298488,0.5438780849303806,0.26091880583722865,0.4929688249657564,0.16372212744221123,0.07500439819831682,0.2700740838230968
tempC,0.1636254511365637,1.0,0.032804977232055256,0.46374851025636177,-0.8089148963363229,-0.04627901855917949,-0.20850462732895036,-0.16036569444898535,0.9436313759553651,0.3233772302862402,0.9999452802486165,-0.09135298627315401,0.9609887317309244
windspeedKmph,0.006070945807946071,0.032804977232055256,1.0,0.06822678976745068,-0.26672355512223705,-0.11436636569794532,-0.007086063726589986,0.06409487642430724,-0.07925787936274474,-0.3645988042213401,0.03283493700120071,0.9673349197160563,-0.056832359070181644
cond,0.09962787675967125,0.46374851025636177,0.06822678976745068,1.0,-0.4577477406656306,-0.07043521943858998,-0.07374937974864089,-0.012457131159503622,0.41898137228130494,0.034362032969584975,0.46368411846245106,0.006028300000512402,0.43562266931774346
humidity,0.11655944579209145,-0.8089148963363229,-0.26672355512223705,-0.4577477406656306,1.0,0.037414221278610785,0.0055682797416757215,0.24154786449519142,-0.6421181705255788,0.18835455886319744,-0.8088770138676084,-0.12446759267671649,-0.6713521023446097
visibility,-0.35376295392399915,-0.04627901855917949,-0.11436636569794532,-0.07043521943858998,0.037414221278610785,1.0,0.6317384310140901,-0.21094896342194122,0.04490944662012368,-0.20384359256431972,-0.04633334082144541,-0.16364268882819233,-0.0231558520887015
pressure,-0.4284545605298488,-0.20850462732895036,-0.007086063726589986,-0.07374937974864089,0.0055682797416757215,0.6317384310140901,1.0,-0.2833741109712643,-0.1862082133292374,-0.39958247463116126,-0.20846748227503412,-0.01891940880370936,-0.2719352288309079
cloudcover,0.5438780849303806,-0.16036569444898535,0.06409487642430724,-0.012457131159503622,0.24154786449519142,-0.21094896342194122,-0.2833741109712643,1.0,-0.10591721753178045,0.15169896648520162,-0.1601739055950665,0.1453750550721544,-0.09326688764562002
heatIndexC,0.26091880583722865,0.9436313759553651,-0.07925787936274474,0.41898137228130494,-0.6421181705255788,0.04490944662012368,-0.1862082133292374,-0.10591721753178045,1.0,0.5225375594213255,0.943659960449616,-0.18278687793623546,0.9833352730608574
dewPointC,0.4929688249657564,0.3233772302862402,-0.3645988042213401,0.034362032969584975,0.18835455886319744,-0.20384359256431972,-0.39958247463116126,0.15169896648520162,0.5225375594213255,1.0,0.3235315370828126,-0.34242387022065196,0.48979976875040576
windChillC,0.16372212744221123,0.9999452802486165,0.03283493700120071,0.46368411846245106,-0.8088770138676084,-0.04633334082144541,-0.20846748227503412,-0.1601739055950665,0.943659960449616,0.3235315370828126,1.0,-0.09131936319050833,0.9609757381000266
windGustKmph,0.07500439819831682,-0.09135298627315401,0.9673349197160563,0.006028300000512402,-0.12446759267671649,-0.16364268882819233,-0.01891940880370936,0.1453750550721544,-0.18278687793623546,-0.34242387022065196,-0.09131936319050833,1.0,-0.16829453352003682
feelsLikeC,0.2700740838230968,0.9609887317309244,-0.056832359070181644,0.43562266931774346,-0.6713521023446097,-0.0231558520887015,-0.2719352288309079,-0.09326688764562002,0.9833352730608574,0.48979976875040576,0.9609757381000266,-0.16829453352003682,1.0
