,precipMM,tempC,windspeedKmph,cond,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
precipMM,1.0,0.14253370340971752,-0.02024377973550249,0.013395539345011155,0.14352328066381376,-0.6997830777206147,-0.4351024442109957,0.5577627480314091,0.23958423182049657,0.4959597563199905,0.14267349916340186,0.05959928622029052,0.23956186965682394
tempC,0.14253370340971752,1.0,-0.043552653055106826,0.38356645728032246,-0.7746599065613446,-0.05104704668690828,-0.3100095328673806,-0.14962002749981762,0.9664453663235866,0.4192049042747519,0.9999887006335261,-0.13415257559283147,0.9664454960120066
windspeedKmph,-0.02024377973550249,-0.043552653055106826,1.0,0.05807022377166132,-0.2602353243943672,0.013297394686008601,0.10919381310883969,0.11861978907025127,-0.1482108758725963,-0.4216770150298414,-0.04361272547422897,0.9756193318742225,-0.14821786853324803
cond,0.013395539345011155,0.38356645728032246,0.05807022377166132,1.0,-0.435601919246239,-0.03229274803120818,-0.01139936862865247,-0.0186710121815044,0.33553789802633227,-0.005073563508514939,0.38356802543903096,0.01115364584114842,0.33553334422279246
humidity,0.14352328066381376,-0.7746599065613446,-0.2602353243943672,-0.435601919246239,1.0,-0.1689379015524458,-0.0036981428712525542,0.19524340315730507,-0.6431185843852223,0.14828489171823594,-0.7746508059104767,-0.14584498956299086,-0.6431229681540788
visibility,-0.6997830777206147,-0.05104704668690828,0.013297394686008601,-0.03229274803120818,-0.1689379015524458,1.0,0.3011721235920573,-0.3891644715600849,-0.13202559136939343,-0.3565658415407118,-0.05120090180698619,-0.06993881250896518,-0.1320100819855767
pressure,-0.4351024442109957,-0.3100095328673806,0.10919381310883969,-0.01139936862865247,-0.0036981428712525542,0.3011721235920573,1.0,-0.2624869929470553,-0.40613000225343215,-0.5607334622916462,-0.3101060894922306,0.10240941830315606,-0.4061031479401949
cloudcover,0.5577627480314091,-0.14962002749981762,0.11861978907025127,-0.0186710121815044,0.19524340315730507,-0.3891644715600849,-0.2624869929470553,1.0,-0.10816878074791603,0.09203387890662819,-0.14946914402179587,0.18460378659294838,-0.10818012719723186
heatIndexC,0.23958423182049657,0.9664453663235866,-0.1482108758725963,0.33553789802633227,-0.6431185843852223,-0.13202559136939343,-0.40613000225343215,-0.10816878074791603,1.0,0.5920795293926724,0.9664601351413605,-0.22338307375524416,0.9999998887259842
dewPointC,0.4959597563199905,0.4192049042747519,-0.4216770150298414,-0.005073563508514939,0.14828489171823594,-0.3565658415407118,-0.5607334622916462,0.09203387890662819,0.5920795293926724,1.0,0.4192801643974992,-0.41080093376512156,0.5920680210024569
windChillC,0.14267349916340186,0.9999887006335261,-0.04361272547422897,0.38356802543903096,-0.7746508059104767,-0.05120090180698619,-0.3101060894922306,-0.14946914402179587,0.9664601351413605,0.4192801643974992,1.0,-0.13416797431945918,0.9664602648290379
windGustKmph,0.05959928622029052,-0.13415257559283147,0.9756193318742225,0.01115364584114842,-0.14584498956299086,-0.06993881250896518,0.10240941830315606,0.18460378659294838,-0.22338307375524416,-0.41080093376512156,-0.13416797431945918,1.0,-0.22339066740455574
feelsLikeC,0.23956186965682394,0.9664454960120066,-0.14821786853324803,0.33553334422279246,-0.6431229681540788,-0.1320100819855767,-0.4061031479401949,-0.10818012719723186,0.9999998887259842,0.5920680210024569,0.9664602648290379,-0.22339066740455574,1.0
