,precipMM,tempC,windspeedKmph,cond,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
precipMM,1.0,0.3236873400740701,-0.36176812347650616,0.3335647741608454,0.22550083702513932,-0.46718518786284124,-0.5126251086757002,0.23929909757910411,0.47597863604816026,0.5608386414412734,0.32405806158762684,-0.33205916858258294,0.4758005415662641
tempC,0.3236873400740701,1.0,-0.6593047179265885,0.36355986264688994,-0.5190748082709019,-0.09590143313292042,-0.4348127571815986,-0.26003498959501437,0.9274185731662199,0.4006215998389262,0.9999760231362164,-0.6988181019180512,0.9274502021722631
windspeedKmph,-0.36176812347650616,-0.6593047179265885,1.0,-0.46857447460939894,0.09571390192183474,0.27251830276597444,0.3040065533155622,-0.013140936631459505,-0.7118317380909049,-0.4651677295428814,-0.659232025071341,0.9836017319142245,-0.7113743937413459
cond,0.3335647741608454,0.36355986264688994,-0.46857447460939894,1.0,0.08620182508458367,-0.47005016775474817,-0.4145839552699289,0.25428721211172217,0.46310797784586044,0.43027450951132123,0.3634291220515127,-0.4323111825988791,0.46281729904970403
humidity,0.22550083702513932,-0.5190748082709019,0.09571390192183474,0.08620182508458367,1.0,-0.5069721498707659,-0.21768436013289325,0.5399872821014245,-0.21443505446013103,0.5090103039036884,-0.5188223429501202,0.17910015661427486,-0.21457126297496146
visibility,-0.46718518786284124,-0.09590143313292042,0.27251830276597444,-0.47005016775474817,-0.5069721498707659,1.0,0.5834278483348477,-0.5590208780323163,-0.342279985653672,-0.6902704250074957,-0.09622871429701207,0.18706001045021314,-0.34200956926724907
pressure,-0.5126251086757002,-0.4348127571815986,0.3040065533155622,-0.4145839552699289,-0.21768436013289325,0.5834278483348477,1.0,-0.360666962975625,-0.60552181623159,-0.7261037591433797,-0.4352088461226003,0.2700889449537796,-0.6054092018452487
cloudcover,0.23929909757910411,-0.26003498959501437,-0.013140936631459505,0.25428721211172217,0.5399872821014245,-0.5590208780323163,-0.360666962975625,1.0,-0.05605249640746865,0.3461362265350316,-0.2598187160911232,0.08548680141789798,-0.05630744106158598
heatIndexC,0.47597863604816026,0.9274185731662199,-0.7118317380909049,0.46310797784586044,-0.21443505446013103,-0.342279985653672,-0.60552181623159,-0.05605249640746865,1.0,0.6890886346571405,0.9275258589355182,-0.7188489819338167,0.9999849507436565
dewPointC,0.5608386414412734,0.4006215998389262,-0.4651677295428814,0.43027450951132123,0.5090103039036884,-0.6902704250074957,-0.7261037591433797,0.3461362265350316,0.6890886346571405,1.0,0.40088633963495107,-0.41276894830622823,0.6890552201746534
windChillC,0.32405806158762684,0.9999760231362164,-0.659232025071341,0.3634291220515127,-0.5188223429501202,-0.09622871429701207,-0.4352088461226003,-0.2598187160911232,0.9275258589355182,0.40088633963495107,1.0,-0.6987409301802071,0.9275587632921188
windGustKmph,-0.33205916858258294,-0.6988181019180512,0.9836017319142245,-0.4323111825988791,0.17910015661427486,0.18706001045021314,0.2700889449537796,0.08548680141789798,-0.7188489819338167,-0.41276894830622823,-0.6987409301802071,1.0,-0.7184569360774602
feelsLikeC,0.4758005415662641,0.9274502021722631,-0.7113743937413459,0.46281729904970403,-0.21457126297496146,-0.34200956926724907,-0.6054092018452487,-0.05630744106158598,0.9999849507436565,0.6890552201746534,0.9275587632921188,-0.7184569360774602,1.0
