,precipMM,tempC,windspeedKmph,cond,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
precipMM,1.0,0.3077762431062812,-0.35346201580796904,0.3557068225573241,0.26178619719162166,-0.5023207098286354,-0.5407776891572399,0.25189072324695183,0.4657446133503933,0.5872783343320955,0.3078825189593711,-0.3247944127280648,0.4658079298486024
tempC,0.3077762431062812,1.0,-0.6594852550116249,0.3646294207982828,-0.519108722339559,-0.09520809575740057,-0.43624503043061363,-0.2556201311030891,0.9274075114056289,0.40121657109357356,0.9999762212928166,-0.6987695993010358,0.927438879014399
windspeedKmph,-0.35346201580796904,-0.6594852550116249,1.0,-0.4687195114297733,0.09592208604813889,0.2725576962067537,0.30426823310524864,-0.014187241664309612,-0.7119333287799794,-0.4656652440586304,-0.6594137952674903,0.9836449229063494,-0.7114767285669836
cond,0.3557068225573241,0.3646294207982828,-0.4687195114297733,1.0,0.08426204509964878,-0.4683740980791993,-0.41654441417152005,0.25675447734616313,0.4635268867585151,0.4298702713697915,0.3644974829912939,-0.4324872820097206,0.46323759911202333
humidity,0.26178619719162166,-0.519108722339559,0.09592208604813889,0.08426204509964878,1.0,-0.5075940366814732,-0.2140711825999255,0.5350607664130578,-0.21448964399794357,0.5084473011427864,-0.5188579640527523,0.17884522152759694,-0.21462523275067946
visibility,-0.5023207098286354,-0.09520809575740057,0.2725576962067537,-0.4683740980791993,-0.5075940366814732,1.0,0.579306162232123,-0.5548571137093586,-0.3416363598923974,-0.6901089159945266,-0.09553382678224302,0.18752336837485523,-0.34136726009469937
pressure,-0.5407776891572399,-0.43624503043061363,0.30426823310524864,-0.41654441417152005,-0.2140711825999255,0.579306162232123,1.0,-0.3657217777921716,-0.6061091483549883,-0.7240531857708958,-0.43663784535940503,0.2701984933960103,-0.60599721170228
cloudcover,0.25189072324695183,-0.2556201311030891,-0.014187241664309612,0.25675447734616313,0.5350607664130578,-0.5548571137093586,-0.3657217777921716,1.0,-0.05271735043826451,0.3455704859358483,-0.2554056466620135,0.08423933493704436,-0.052970188111103066
heatIndexC,0.4657446133503933,0.9274075114056289,-0.7119333287799794,0.4635268867585151,-0.21448964399794357,-0.3416363598923974,-0.6061091483549883,-0.05271735043826451,1.0,0.6896615052456841,0.9275153018231209,-0.7188857488315761,0.9999850751176915
dewPointC,0.5872783343320955,0.40121657109357356,-0.4656652440586304,0.4298702713697915,0.5084473011427864,-0.6901089159945266,-0.7240531857708958,0.3455704859358483,0.6896615052456841,1.0,0.4014800081025254,-0.4135269893338442,0.6896283669162417
windChillC,0.3078825189593711,0.9999762212928166,-0.6594137952674903,0.3644974829912939,-0.5188579640527523,-0.09553382678224302,-0.43663784535940503,-0.2554056466620135,0.9275153018231209,0.4014800081025254,1.0,-0.6986934448122778,0.927547934242443
windGustKmph,-0.3247944127280648,-0.6987695993010358,0.9836449229063494,-0.4324872820097206,0.17884522152759694,0.18752336837485523,0.2701984933960103,0.08423933493704436,-0.7188857488315761,-0.4135269893338442,-0.6986934448122778,1.0,-0.7184951722751877
feelsLikeC,0.4658079298486024,0.927438879014399,-0.7114767285669836,0.46323759911202333,-0.21462523275067946,-0.34136726009469937,-0.60599721170228,-0.052970188111103066,0.9999850751176915,0.6896283669162417,0.927547934242443,-0.7184951722751877,1.0
