,precipMM,tempC,windspeedKmph,cond,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
precipMM,1.0,0.11336785133198096,-0.014314555063935116,0.12799389055969945,0.189767729093927,-0.7620035441028211,-0.5883211256061722,0.5370454559621762,0.23251398194615847,0.5691628956163387,0.11348661419877626,0.07685748099844632,0.23251398194192688
tempC,0.11336785133198096,1.0,0.08086019096647601,0.4766428891616179,-0.8245765545908839,-0.04121389710767118,-0.1831590078964974,-0.20275571809295306,0.9650688509638733,0.274236629969994,0.999941364321996,-0.06960769386920626,0.9650688510233804
windspeedKmph,-0.014314555063935116,0.08086019096647601,1.0,0.08593251382241926,-0.2716023792505191,-0.05345824845430189,0.1340422482503855,-0.013422761108865878,-0.003646760288281373,-0.33990772210606207,0.08061226652436898,0.9617214778641073,-0.0036467783851338613
cond,0.12799389055969945,0.4766428891616179,0.08593251382241926,1.0,-0.4428640236543953,-0.13655614272546931,-0.08419483992365139,-0.0018894842654621747,0.46027337249216244,0.066303368317208,0.4764745731978297,0.02230720718038416,0.46027340123463895
humidity,0.189767729093927,-0.8245765545908839,-0.2716023792505191,-0.4428640236543953,1.0,-0.20628124701697176,-0.2196225875895467,0.31242793787824313,-0.7025974051429451,0.22707557947836812,-0.8244445546300467,-0.10248237778621475,-0.7025974085249147
visibility,-0.7620035441028211,-0.04121389710767118,-0.05345824845430189,-0.13655614272546931,-0.20628124701697176,1.0,0.46481826420430633,-0.38701210579275847,-0.14240903305995276,-0.4470257094602303,-0.041193118049582506,-0.15304698925268712,-0.142409033057361
pressure,-0.5883211256061722,-0.1831590078964974,0.1340422482503855,-0.08419483992365139,-0.2196225875895467,0.46481826420430633,1.0,-0.3968390650145436,-0.32990780771384126,-0.6962131525209172,-0.18314953008184243,0.0833989434485981,-0.3299078016162381
cloudcover,0.5370454559621762,-0.20275571809295306,-0.013422761108865878,-0.0018894842654621747,0.31242793787824313,-0.38701210579275847,-0.3968390650145436,1.0,-0.11466135338861613,0.24888997677404653,-0.20267415523028148,0.09013518154711679,-0.114661299573822
heatIndexC,0.23251398194615847,0.9650688509638733,-0.003646760288281373,0.46027337249216244,-0.7025974051429451,-0.14240903305995276,-0.32990780771384126,-0.11466135338861613,1.0,0.473039198878939,0.9651000859791936,-0.13763990479726335,0.9999999999818007
dewPointC,0.5691628956163387,0.274236629969994,-0.33990772210606207,0.066303368317208,0.22707557947836812,-0.4470257094602303,-0.6962131525209172,0.24888997677404653,0.473039198878939,1.0,0.2744496397288209,-0.320995079038382,0.47303918535325423
windChillC,0.11348661419877626,0.999941364321996,0.08061226652436898,0.4764745731978297,-0.8244445546300467,-0.041193118049582506,-0.18314953008184243,-0.20267415523028148,0.9651000859791936,0.2744496397288209,1.0,-0.06985180998361777,0.9651000860387002
windGustKmph,0.07685748099844632,-0.06960769386920626,0.9617214778641073,0.02230720718038416,-0.10248237778621475,-0.15304698925268712,0.0833989434485981,0.09013518154711679,-0.13763990479726335,-0.320995079038382,-0.06985180998361777,1.0,-0.13763991347848253
feelsLikeC,0.23251398194192688,0.9650688510233804,-0.0036467783851338613,0.46027340123463895,-0.7025974085249147,-0.142409033057361,-0.3299078016162381,-0.114661299573822,0.9999999999818007,0.47303918535325423,0.9651000860387002,-0.13763991347848253,1.0
