,precipMM,tempC,windspeedKmph,cond,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
precipMM,1.0,0.21130129239214024,-0.05780703814104493,0.12115032593191491,0.039745616762951484,-0.2611317470799466,-0.4134834804304199,0.4805569709368997,0.3109131239936405,0.4851981000105825,0.21139817943550088,-0.017323965783851435,0.32063716009167426
tempC,0.21130129239214024,1.0,0.03637827161438819,0.45047975451265104,-0.8081793754806232,-0.038440128463936345,-0.20676329437282268,-0.15869471211781422,0.9406799680145926,0.31896080265436316,0.9999267196218438,-0.08947647739235694,0.9605735151656662
windspeedKmph,-0.05780703814104493,0.03637827161438819,1.0,0.07230132539910938,-0.2679110275218154,-0.11926638237089422,-0.010375182275969959,0.06436797823572717,-0.07688632169832017,-0.3627062023047598,0.03641665367005028,0.9658714786324238,-0.05319828110389349
cond,0.12115032593191491,0.45047975451265104,0.07230132539910938,1.0,-0.4487291321749783,-0.07103797964151887,-0.07811048650336194,-0.0161595249352239,0.40300042426430877,0.024146833954742108,0.4504389214613472,0.009884812499030119,0.4229112753438753
humidity,0.039745616762951484,-0.8081793754806232,-0.2679110275218154,-0.4487291321749783,1.0,0.04106928581537857,0.007084216695826626,0.23997495976658892,-0.641904114513995,0.18686454471229397,-0.8081484193835653,-0.1231902998100351,-0.6727279537127329
visibility,-0.2611317470799466,-0.038440128463936345,-0.11926638237089422,-0.07103797964151887,0.04106928581537857,1.0,0.6292571393820823,-0.20388988504364086,0.052629344548526295,-0.1910481648567927,-0.038487424963067375,-0.1561437606885592,-0.018387171028880135
pressure,-0.4134834804304199,-0.20676329437282268,-0.010375182275969959,-0.07811048650336194,0.007084216695826626,0.6292571393820823,1.0,-0.28192050444129024,-0.1823362796415592,-0.3948890009857523,-0.20672380598359855,-0.01622614119443016,-0.2700177497718646
cloudcover,0.4805569709368997,-0.15869471211781422,0.06436797823572717,-0.0161595249352239,0.23997495976658892,-0.20388988504364086,-0.28192050444129024,1.0,-0.10586091882807636,0.14991346416319415,-0.15850355041974723,0.14572641490881716,-0.0931058237402092
heatIndexC,0.3109131239936405,0.9406799680145926,-0.07688632169832017,0.40300042426430877,-0.641904114513995,0.052629344548526295,-0.1823362796415592,-0.10586091882807636,1.0,0.5203283277020296,0.9407136450050373,-0.1803753262168676,0.9823078652241982
dewPointC,0.4851981000105825,0.31896080265436316,-0.3627062023047598,0.024146833954742108,0.18686454471229397,-0.1910481648567927,-0.3948890009857523,0.14991346416319415,0.5203283277020296,1.0,0.3191048879936134,-0.3433535140242002,0.4869679854164171
windChillC,0.21139817943550088,0.9999267196218438,0.03641665367005028,0.4504389214613472,-0.8081484193835653,-0.038487424963067375,-0.20672380598359855,-0.15850355041974723,0.9407136450050373,0.3191048879936134,1.0,-0.08943817278168044,0.9605650385806518
windGustKmph,-0.017323965783851435,-0.08947647739235694,0.9658714786324238,0.009884812499030119,-0.1231902998100351,-0.1561437606885592,-0.01622614119443016,0.14572641490881716,-0.1803753262168676,-0.3433535140242002,-0.08943817278168044,1.0,-0.16528383414872125
feelsLikeC,0.32063716009167426,0.9605735151656662,-0.05319828110389349,0.4229112753438753,-0.6727279537127329,-0.018387171028880135,-0.2700177497718646,-0.0931058237402092,0.9823078652241982,0.4869679854164171,0.9605650385806518,-0.16528383414872125,1.0
