,precipMM,tempC,windspeedKmph,cond,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
precipMM,1.0,0.27793052325971573,-0.3573044335623405,0.3474169766110277,0.3089067077960189,-0.5743973114100315,-0.5584767930207584,0.31061982791230625,0.45247923924896766,0.6202807133123296,0.27836718689750123,-0.3189807930043016,0.4524519653976905
tempC,0.27793052325971573,1.0,-0.658661596890659,0.3665628514869262,-0.519243444687058,-0.09389357099491195,-0.4396372253177482,-0.25023399241362954,0.9279548737664992,0.40449103954067733,0.9999764172718603,-0.697842440905196,0.9279877390084702
windspeedKmph,-0.3573044335623405,-0.658661596890659,1.0,-0.4688188379996728,0.09586709723395015,0.2729265742584061,0.3043401933564672,-0.01514269731483301,-0.7108097466082068,-0.4654344846758919,-0.658590600971575,0.9837006905513322,-0.7103538990334
cond,0.3474169766110277,0.3665628514869262,-0.4688188379996728,1.0,0.08247610471182763,-0.4667095467162424,-0.41848751902544734,0.2586668886576396,0.4648726144478307,0.4309042844407749,0.36642974181068716,-0.43267050953901787,0.4645847081784567
humidity,0.3089067077960189,-0.519243444687058,0.09586709723395015,0.08247610471182763,1.0,-0.5081471758572533,-0.210945964236418,0.5319691689448762,-0.21575186589853346,0.5058433588948598,-0.5189938749633746,0.17847521639585928,-0.21588658804070082
visibility,-0.5743973114100315,-0.09389357099491195,0.2729265742584061,-0.4667095467162424,-0.5081471758572533,1.0,0.5754938889758345,-0.5522542960510268,-0.3394725162840377,-0.6877237430928625,-0.0942177637854166,0.18801157289463238,-0.33920472279895003
pressure,-0.5584767930207584,-0.4396372253177482,0.3043401933564672,-0.41848751902544734,-0.210945964236418,0.5754938889758345,1.0,-0.3689058109807167,-0.6084926035446662,-0.72511171352881,-0.4400268014780189,0.2705371990655941,-0.6083798332919786
cloudcover,0.31061982791230625,-0.25023399241362954,-0.01514269731483301,0.2586668886576396,0.5319691689448762,-0.5522542960510268,-0.3689058109807167,1.0,-0.04814009701376591,0.3475025069137108,-0.2500221558104111,0.08286880945995738,-0.04839185437611645
heatIndexC,0.45247923924896766,0.9279548737664992,-0.7108097466082068,0.4648726144478307,-0.21575186589853346,-0.3394725162840377,-0.6084926035446662,-0.04814009701376591,1.0,0.6913288715676397,0.9280617755940023,-0.7178769697076525,0.9999851981249788
dewPointC,0.6202807133123296,0.40449103954067733,-0.4654344846758919,0.4309042844407749,0.5058433588948598,-0.6877237430928625,-0.72511171352881,0.3475025069137108,0.6913288715676397,1.0,0.4047546874862465,-0.41370712532804504,0.6912952537181672
windChillC,0.27836718689750123,0.9999764172718603,-0.658590600971575,0.36642974181068716,-0.5189938749633746,-0.0942177637854166,-0.4400268014780189,-0.2500221558104111,0.9280617755940023,0.4047546874862465,1.0,-0.697767290732619,0.9280958952216819
windGustKmph,-0.3189807930043016,-0.697842440905196,0.9837006905513322,-0.43267050953901787,0.17847521639585928,0.18801157289463238,0.2705371990655941,0.08286880945995738,-0.7178769697076525,-0.41370712532804504,-0.697767290732619,1.0,-0.7174866016383556
feelsLikeC,0.4524519653976905,0.9279877390084702,-0.7103538990334,0.4645847081784567,-0.21588658804070082,-0.33920472279895003,-0.6083798332919786,-0.04839185437611645,0.9999851981249788,0.6912952537181672,0.9280958952216819,-0.7174866016383556,1.0
