,precipMM,tempC,windspeedKmph,cond,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
precipMM,1.0,0.1448442880717968,0.008747787047143882,0.09033484482111456,0.1382072335383143,-0.35746435568147006,-0.4284765300435307,0.5443061720527126,0.2425105406279157,0.49062629415569836,0.14493996988868835,0.08210175549100154,0.251493225084692
tempC,0.1448442880717968,1.0,0.032765928455125146,0.4637366546069306,-0.8088881360905613,-0.046253476196351805,-0.20849551536421126,-0.16035021107242137,0.9436326119934021,0.32340819805201954,0.9999452828075119,-0.09138835438131536,0.9609897222849458
windspeedKmph,0.008747787047143882,0.032765928455125146,1.0,0.0682291497552531,-0.26673075066561136,-0.1143954989633539,-0.007096966312234875,0.06407902320317886,-0.07930253873079184,-0.36462976461246266,0.032795891133208535,0.9673364010835921,-0.05687623877622693
cond,0.09033484482111456,0.4637366546069306,0.0682291497552531,1.0,-0.4577503720649145,-0.07043722145297014,-0.07374946274283183,-0.012459999226905041,0.41896544210819187,0.034355534583543706,0.46367226390405153,0.00603154754656517,0.4356073897187432
humidity,0.1382072335383143,-0.8088881360905613,-0.26673075066561136,-0.4577503720649145,1.0,0.03742344729988366,0.0055710611083563755,0.24154881221755392,-0.6420866532442212,0.1883646478876693,-0.8088502565395176,-0.12447704874343138,-0.6713210072409997
visibility,-0.35746435568147006,-0.046253476196351805,-0.1143954989633539,-0.07043722145297014,0.03742344729988366,1.0,0.6317385749369587,-0.2109354875931529,0.04494175902942016,-0.20380074207857715,-0.046307798824946046,-0.16367144659917865,-0.023122914226755976
pressure,-0.4284765300435307,-0.20849551536421126,-0.007096966312234875,-0.07374946274283183,0.0055710611083563755,0.6317385749369587,1.0,-0.28337098697407487,-0.18619348233148714,-0.3995615544059243,-0.2084583743141743,-0.01893196742133578,-0.2719195653745584
cloudcover,0.5443061720527126,-0.16035021107242137,0.06407902320317886,-0.012459999226905041,0.24154881221755392,-0.2109354875931529,-0.28337098697407487,1.0,-0.10589897118221055,0.15170933741993425,-0.1601584296556404,0.1453576383712499,-0.093249568135251
heatIndexC,0.2425105406279157,0.9436326119934021,-0.07930253873079184,0.41896544210819187,-0.6420866532442212,0.04494175902942016,-0.18619348233148714,-0.10589897118221055,1.0,0.5225632837611311,0.9436611944779946,-0.18282695785181993,0.9833359129077404
dewPointC,0.49062629415569836,0.32340819805201954,-0.36462976461246266,0.034355534583543706,0.1883646478876693,-0.20380074207857715,-0.3995615544059243,0.15170933741993425,0.5225632837611311,1.0,0.3235624938479949,-0.3424548343059981,0.489826815837704
windChillC,0.14493996988868835,0.9999452828075119,0.032795891133208535,0.46367226390405153,-0.8088502565395176,-0.046307798824946046,-0.2084583743141743,-0.1601584296556404,0.9436611944779946,0.3235624938479949,1.0,-0.09135472917504854,0.9609767291374209
windGustKmph,0.08210175549100154,-0.09138835438131536,0.9673364010835921,0.00603154754656517,-0.12447704874343138,-0.16367144659917865,-0.01893196742133578,0.1453576383712499,-0.18282695785181993,-0.3424548343059981,-0.09135472917504854,1.0,-0.1683338123524639
feelsLikeC,0.251493225084692,0.9609897222849458,-0.05687623877622693,0.4356073897187432,-0.6713210072409997,-0.023122914226755976,-0.2719195653745584,-0.093249568135251,0.9833359129077404,0.489826815837704,0.9609767291374209,-0.1683338123524639,1.0
